date,ticker,company,sector,open,high,low,close,volume
1/1/2020,1010.SR,Riyad Bank,Banking,19.04284,19.058697,18.77329,18.947704,217707
1/2/2020,1010.SR,Riyad Bank,Banking,19.026987,19.137976,19.01113,19.122122,639484
1/5/2020,1010.SR,Riyad Bank,Banking,18.234198,18.963566,18.234198,18.741583,658944
1/6/2020,1010.SR,Riyad Bank,Banking,18.789146,19.026983,18.789146,18.947704,1375266
1/7/2020,1010.SR,Riyad Bank,Banking,19.026985,19.328245,19.026985,19.280678,972061
1/8/2020,1010.SR,Riyad Bank,Banking,18.805002,19.248968,18.805002,19.026985,804703
1/9/2020,1010.SR,Riyad Bank,Banking,19.185543,20.29545,19.185543,20.017973,1377552
1/12/2020,1010.SR,Riyad Bank,Banking,20.057611,20.17653,19.938694,20.017973,464735
1/13/2020,1010.SR,Riyad Bank,Banking,20.017973,20.37473,20.017973,20.216171,1615894
1/14/2020,1010.SR,Riyad Bank,Banking,20.216171,20.37473,20.13689,20.335089,1059119
1/15/2020,1010.SR,Riyad Bank,Banking,20.33509,20.374731,20.176535,20.295452,822795
1/16/2020,1010.SR,Riyad Bank,Banking,20.29545,20.29545,20.136892,20.216171,1018590
1/19/2020,1010.SR,Riyad Bank,Banking,20.295448,20.335089,20.13689,20.17653,223610
1/20/2020,1010.SR,Riyad Bank,Banking,20.13689,20.25581,20.057611,20.097252,454684
1/21/2020,1010.SR,Riyad Bank,Banking,20.097252,20.097252,19.819775,19.819775,820064
1/22/2020,1010.SR,Riyad Bank,Banking,19.819773,20.13689,19.661215,19.661215,697626
1/23/2020,1010.SR,Riyad Bank,Banking,19.661219,19.677074,19.28068,19.375814,1041764
1/26/2020,1010.SR,Riyad Bank,Banking,19.3441,19.3441,19.169687,19.185543,371827
1/27/2020,1010.SR,Riyad Bank,Banking,19.26482,19.26482,18.313473,18.392752,3737563
1/28/2020,1010.SR,Riyad Bank,Banking,18.36104,18.789146,18.297617,18.392752,2691336
1/29/2020,1010.SR,Riyad Bank,Banking,18.551308,18.678154,18.265903,18.31347,1439406
1/30/2020,1010.SR,Riyad Bank,Banking,18.392752,18.789148,18.313473,18.678156,1815606
2/2/2020,1010.SR,Riyad Bank,Banking,18.408606,18.551308,18.297615,18.31347,943481
2/3/2020,1010.SR,Riyad Bank,Banking,18.39275,18.519596,18.202478,18.376894,2997147
2/4/2020,1010.SR,Riyad Bank,Banking,18.376896,18.408607,18.281761,18.281761,1493578
2/5/2020,1010.SR,Riyad Bank,Banking,18.440321,18.472033,18.186628,18.234196,1997372
2/6/2020,1010.SR,Riyad Bank,Banking,18.36104,18.392754,18.154915,18.281761,963292
2/9/2020,1010.SR,Riyad Bank,Banking,18.345186,18.345186,18.059782,18.123205,1257785
2/10/2020,1010.SR,Riyad Bank,Banking,18.154911,18.218334,18.04392,18.075632,826036
2/11/2020,1010.SR,Riyad Bank,Banking,18.218336,18.218336,17.695095,17.695095,2217665
2/12/2020,1010.SR,Riyad Bank,Banking,17.853653,18.20248,17.79023,17.964643,2329640
2/13/2020,1010.SR,Riyad Bank,Banking,17.932932,17.9805,17.726807,17.917076,1078100
2/16/2020,1010.SR,Riyad Bank,Banking,17.917076,17.917076,17.917076,17.917076,0
2/17/2020,1010.SR,Riyad Bank,Banking,18.028065,18.139053,17.996353,17.996353,974434
2/18/2020,1010.SR,Riyad Bank,Banking,18.139057,18.139057,17.917076,17.917076,426523
2/19/2020,1010.SR,Riyad Bank,Banking,17.917074,18.23419,17.917074,18.202478,1086396
2/20/2020,1010.SR,Riyad Bank,Banking,18.36104,18.36104,18.091492,18.091492,1687345
2/23/2020,1010.SR,Riyad Bank,Banking,18.20248,18.20248,17.869509,17.917076,559123
2/24/2020,1010.SR,Riyad Bank,Banking,17.917076,17.917076,17.441402,17.520681,1280234
2/25/2020,1010.SR,Riyad Bank,Banking,17.520681,17.758518,17.488968,17.59996,1108241
2/26/2020,1010.SR,Riyad Bank,Banking,17.520681,17.679237,17.362122,17.59996,2059541
2/27/2020,1010.SR,Riyad Bank,Banking,17.59996,17.59996,17.59996,17.59996,0
3/1/2020,1010.SR,Riyad Bank,Banking,17.045006,17.045006,16.474195,16.56933,1998018
3/2/2020,1010.SR,Riyad Bank,Banking,16.870596,17.187712,16.39492,16.39492,2361462
3/3/2020,1010.SR,Riyad Bank,Banking,16.965725,16.965725,16.823023,16.918158,1244258
3/4/2020,1010.SR,Riyad Bank,Banking,16.918158,16.918158,16.918158,16.918158,0
3/5/2020,1010.SR,Riyad Bank,Banking,16.601046,16.601046,16.331495,16.363207,801557
3/8/2020,1010.SR,Riyad Bank,Banking,14.761769,15.142308,14.730057,14.730057,3441534
3/9/2020,1010.SR,Riyad Bank,Banking,13.271322,13.636007,13.271322,13.271322,4503537
3/10/2020,1010.SR,Riyad Bank,Banking,13.873842,14.111679,12.9542055,13.398168,10044037
3/11/2020,1010.SR,Riyad Bank,Banking,13.540871,13.540871,13.081052,13.144475,4075890
3/12/2020,1010.SR,Riyad Bank,Banking,12.684657,12.843216,11.971145,12.541954,3630178
3/15/2020,1010.SR,Riyad Bank,Banking,12.922493,12.922493,12.462675,12.541954,1710450
3/16/2020,1010.SR,Riyad Bank,Banking,11.891866,12.002857,11.289345,11.289345,6168671
3/17/2020,1010.SR,Riyad Bank,Banking,11.321055,11.780874,11.273489,11.6857395,4013561
3/18/2020,1010.SR,Riyad Bank,Banking,11.654028,11.9077215,11.432046,11.638172,3778599
3/19/2020,1010.SR,Riyad Bank,Banking,11.654028,11.955289,11.479613,11.654028,8110933
3/22/2020,1010.SR,Riyad Bank,Banking,11.6857395,11.749163,11.638172,11.654028,1330390
3/23/2020,1010.SR,Riyad Bank,Banking,11.733308,11.733308,11.114931,11.178354,2381616
3/24/2020,1010.SR,Riyad Bank,Banking,11.717451,11.780874,11.495469,11.733307,2816446
3/25/2020,1010.SR,Riyad Bank,Banking,12.002857,12.446819,11.558893,11.796731,4275092
3/26/2020,1010.SR,Riyad Bank,Banking,12.249501,12.315358,12.019,12.183643,2130789
3/29/2020,1010.SR,Riyad Bank,Banking,12.183644,12.282431,12.084858,12.216573,1068972
3/30/2020,1010.SR,Riyad Bank,Banking,12.216573,12.298894,12.035464,12.084858,1991793
3/31/2020,1010.SR,Riyad Bank,Banking,12.101322,12.480002,12.101322,12.315359,3371199
4/1/2020,1010.SR,Riyad Bank,Banking,12.348286,12.908075,12.233035,12.89161,2898846
4/2/2020,1010.SR,Riyad Bank,Banking,12.908077,13.336151,12.875148,13.171507,3205980
4/5/2020,1010.SR,Riyad Bank,Banking,13.418472,13.764224,13.418472,13.500794,3432043
4/6/2020,1010.SR,Riyad Bank,Banking,13.500793,13.500793,13.204435,13.418471,2605008
4/7/2020,1010.SR,Riyad Bank,Banking,13.74776,13.879475,13.385543,13.83008,3440723
4/8/2020,1010.SR,Riyad Bank,Banking,13.879475,13.912402,13.6489725,13.83008,2565536
4/9/2020,1010.SR,Riyad Bank,Banking,13.86301,14.01119,13.648973,13.648973,3011822
4/12/2020,1010.SR,Riyad Bank,Banking,13.665439,13.747761,13.2209,13.303222,1006371
4/13/2020,1010.SR,Riyad Bank,Banking,13.648974,13.648974,13.006864,13.006864,1452684
4/14/2020,1010.SR,Riyad Bank,Banking,13.122114,13.204437,12.759898,13.155043,1603635
4/15/2020,1010.SR,Riyad Bank,Banking,13.434937,13.434937,13.122113,13.171507,1066063
4/16/2020,1010.SR,Riyad Bank,Banking,13.187971,13.204435,12.677574,12.677574,2606605
4/19/2020,1010.SR,Riyad Bank,Banking,12.858683,12.908076,12.644646,12.677574,1113128
4/20/2020,1010.SR,Riyad Bank,Banking,12.710505,12.710505,12.364754,12.529397,1283869
4/21/2020,1010.SR,Riyad Bank,Banking,12.348288,12.496468,12.183644,12.348288,1426037
4/22/2020,1010.SR,Riyad Bank,Banking,12.2659645,12.4141445,12.200107,12.2659645,3291676
4/23/2020,1010.SR,Riyad Bank,Banking,12.348287,12.39768,12.2495,12.2659645,3407781
4/26/2020,1010.SR,Riyad Bank,Banking,12.51293,12.7763605,12.51293,12.743431,3607372
4/27/2020,1010.SR,Riyad Bank,Banking,12.759896,13.434936,12.743431,13.122112,5558503
4/28/2020,1010.SR,Riyad Bank,Banking,13.171505,13.517258,13.1385765,13.369078,3527954
4/29/2020,1010.SR,Riyad Bank,Banking,13.533724,13.747761,13.402009,13.583117,3043016
4/30/2020,1010.SR,Riyad Bank,Banking,13.74776,14.077047,13.74776,14.011189,4539179
5/3/2020,1010.SR,Riyad Bank,Banking,13.171507,13.2209,13.039792,13.072721,3255199
5/4/2020,1010.SR,Riyad Bank,Banking,12.875148,13.171506,12.759896,13.089184,2888925
5/5/2020,1010.SR,Riyad Bank,Banking,13.253828,13.533723,13.204435,13.319686,2016205
5/6/2020,1010.SR,Riyad Bank,Banking,13.566651,13.566651,13.171507,13.171507,2268012
5/7/2020,1010.SR,Riyad Bank,Banking,13.089184,13.105648,12.957469,12.990397,3777279
5/10/2020,1010.SR,Riyad Bank,Banking,13.319686,13.319686,13.039791,13.089184,945774
5/11/2020,1010.SR,Riyad Bank,Banking,12.348288,12.9245405,12.331822,12.825754,2520739
