date,year,quarter,month,ticker,company,sector,open,high,low,close,volume,daily_return
2020-01-01,2020,1,1,1010.SR,Riyad Bank,Banking,19.04284,19.058697,18.77329,18.947704,217707,0.0
2020-01-02,2020,1,1,1010.SR,Riyad Bank,Banking,19.026987,19.137976,19.01113,19.122122,639484,0.009205231409568082
2020-01-05,2020,1,1,1010.SR,Riyad Bank,Banking,18.234198,18.963566,18.234198,18.741583,658944,-0.01990045874615809
2020-01-06,2020,1,1,1010.SR,Riyad Bank,Banking,18.789146,19.026983,18.789146,18.947704,1375266,0.010998057101153202
2020-01-07,2020,1,1,1010.SR,Riyad Bank,Banking,19.026985,19.328245,19.026985,19.280678,972061,0.017573316534815975
2020-01-08,2020,1,1,1010.SR,Riyad Bank,Banking,18.805002,19.248968,18.805002,19.026985,804703,-0.013157887912447985
2020-01-09,2020,1,1,1010.SR,Riyad Bank,Banking,19.185543,20.29545,19.185543,20.017973,1377552,0.05208329117829247
2020-01-12,2020,1,1,1010.SR,Riyad Bank,Banking,20.057611,20.17653,19.938694,20.017973,464735,0.0
2020-01-13,2020,1,1,1010.SR,Riyad Bank,Banking,20.017973,20.37473,20.017973,20.216171,1615894,0.0099010024641355
2020-01-14,2020,1,1,1010.SR,Riyad Bank,Banking,20.216171,20.37473,20.13689,20.335089,1059119,0.005882320643211925
2020-01-15,2020,1,1,1010.SR,Riyad Bank,Banking,20.33509,20.374731,20.176535,20.295452,822795,-0.0019491923541617995
2020-01-16,2020,1,1,1010.SR,Riyad Bank,Banking,20.29545,20.29545,20.136892,20.216171,1018590,-0.003906343155106962
2020-01-19,2020,1,1,1010.SR,Riyad Bank,Banking,20.295448,20.335089,20.13689,20.17653,223610,-0.0019608559899894074
2020-01-20,2020,1,1,1010.SR,Riyad Bank,Banking,20.13689,20.25581,20.057611,20.097252,454684,-0.00392921875069685
2020-01-21,2020,1,1,1010.SR,Riyad Bank,Banking,20.097252,20.097252,19.819775,19.819775,820064,-0.013806713475056243
2020-01-22,2020,1,1,1010.SR,Riyad Bank,Banking,19.819773,20.13689,19.661215,19.661215,697626,-0.008000090818387262
2020-01-23,2020,1,1,1010.SR,Riyad Bank,Banking,19.661219,19.677074,19.28068,19.375814,1041764,-0.014515939121768406
2020-01-26,2020,1,1,1010.SR,Riyad Bank,Banking,19.3441,19.3441,19.169687,19.185543,371827,-0.009820026141869387
2020-01-27,2020,1,1,1010.SR,Riyad Bank,Banking,19.26482,19.26482,18.313473,18.392752,3737563,-0.04132231232652617
2020-01-28,2020,1,1,1010.SR,Riyad Bank,Banking,18.36104,18.789146,18.297617,18.392752,2691336,0.0
2020-01-29,2020,1,1,1010.SR,Riyad Bank,Banking,18.551308,18.678154,18.265903,18.31347,1439406,-0.004310502310910458
2020-01-30,2020,1,1,1010.SR,Riyad Bank,Banking,18.392752,18.789148,18.313473,18.678156,1815606,0.019913539050764317
2020-02-02,2020,1,2,1010.SR,Riyad Bank,Banking,18.408606,18.551308,18.297615,18.31347,943481,-0.019524732527129718
2020-02-03,2020,1,2,1010.SR,Riyad Bank,Banking,18.39275,18.519596,18.202478,18.376894,2997147,0.003463243175651609
2020-02-04,2020,1,2,1010.SR,Riyad Bank,Banking,18.376896,18.408607,18.281761,18.281761,1493578,-0.00517677252750115
2020-02-05,2020,1,2,1010.SR,Riyad Bank,Banking,18.440321,18.472033,18.186628,18.234196,1997372,-0.0026017734287193672
2020-02-06,2020,1,2,1010.SR,Riyad Bank,Banking,18.36104,18.392754,18.154915,18.281761,963292,0.002608560311625485
2020-02-09,2020,1,2,1010.SR,Riyad Bank,Banking,18.345186,18.345186,18.059782,18.123205,1257785,-0.008672906291686044
2020-02-10,2020,1,2,1010.SR,Riyad Bank,Banking,18.154911,18.218334,18.04392,18.075632,826036,-0.0026249772046390563
2020-02-11,2020,1,2,1010.SR,Riyad Bank,Banking,18.218336,18.218336,17.695095,17.695095,2217665,-0.02105248657419012
2020-02-12,2020,1,2,1010.SR,Riyad Bank,Banking,17.853653,18.20248,17.79023,17.964643,2329640,0.015232921891631612
2020-02-13,2020,1,2,1010.SR,Riyad Bank,Banking,17.932932,17.9805,17.726807,17.917076,1078100,-0.002647812149676243
2020-02-16,2020,1,2,1010.SR,Riyad Bank,Banking,17.917076,17.917076,17.917076,17.917076,0,0.0
2020-02-17,2020,1,2,1010.SR,Riyad Bank,Banking,18.028065,18.139053,17.996353,17.996353,974434,0.004424661702612465
2020-02-18,2020,1,2,1010.SR,Riyad Bank,Banking,18.139057,18.139057,17.917076,17.917076,426523,-0.004405170314229601
2020-02-19,2020,1,2,1010.SR,Riyad Bank,Banking,17.917074,18.23419,17.917074,18.202478,1086396,0.01592905003026157
2020-02-20,2020,1,2,1010.SR,Riyad Bank,Banking,18.36104,18.36104,18.091492,18.091492,1687345,-0.006097301697054691
2020-02-23,2020,1,2,1010.SR,Riyad Bank,Banking,18.20248,18.20248,17.869509,17.917076,559123,-0.00964077479071368
2020-02-24,2020,1,2,1010.SR,Riyad Bank,Banking,17.917076,17.917076,17.441402,17.520681,1280234,-0.02212386663984689
2020-02-25,2020,1,2,1010.SR,Riyad Bank,Banking,17.520681,17.758518,17.488968,17.59996,1108241,0.004524881196113384
2020-02-26,2020,1,2,1010.SR,Riyad Bank,Banking,17.520681,17.679237,17.362122,17.59996,2059541,0.0
2020-02-27,2020,1,2,1010.SR,Riyad Bank,Banking,17.59996,17.59996,17.59996,17.59996,0,0.0
